schema_version,status,board_id,coordinate_space,slot_id,designator,designator_source,expected_class,center_x_px,center_y_px,x1_px,y1_px,x2_px,y2_px,rotation_deg_observed,rotation_source,footprint,layer,proposal_source,confidence,upstream_text,review_reasons
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_007,source_image_pixels,slot_0001,U_AUTO_0001,synthetic_auto_not_ocr,ic,2423.125732,680.391350,2405.910156,638.363571,2440.341309,722.419128,,unknown,,,current_component_detector,0.435965,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_007,source_image_pixels,slot_0002,U_AUTO_0002,synthetic_auto_not_ocr,ic,2516.000000,682.000000,2481.500000,641.500000,2550.500000,722.500000,-90.000000,upstream_opencv_rotated_rect_not_verified_pnp,,,pcb_dslr_upstream_ic_annotation,1.000000,,verify_refdes;verify_footprint;verify_layer;rotation_not_manufacturing_verified
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_007,source_image_pixels,slot_0003,U_AUTO_0003,synthetic_auto_not_ocr,ic,2204.000000,709.000000,2111.000000,648.000000,2297.000000,770.000000,0.000000,upstream_opencv_rotated_rect_not_verified_pnp,,,pcb_dslr_upstream_ic_annotation,1.000000,NEC JAPAN,verify_refdes;verify_footprint;verify_layer;rotation_not_manufacturing_verified
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_007,source_image_pixels,slot_0004,U_AUTO_0004,synthetic_auto_not_ocr,ic,2051.000000,736.000000,2014.012695,697.066101,2087.987305,774.933899,-1.507436,upstream_opencv_rotated_rect_not_verified_pnp,,,pcb_dslr_upstream_ic_annotation,1.000000,,verify_refdes;verify_footprint;verify_layer;rotation_not_manufacturing_verified
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_007,source_image_pixels,slot_0005,C_AUTO_0001,synthetic_auto_not_ocr,capacitor,2332.332214,753.830246,2312.612488,737.164856,2352.051941,770.495636,,unknown,,,current_component_detector,0.264942,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_007,source_image_pixels,slot_0006,U_AUTO_0005,synthetic_auto_not_ocr,ic,3964.000000,766.000000,3845.000000,651.500000,4083.000000,880.500000,0.000000,upstream_opencv_rotated_rect_not_verified_pnp,,,pcb_dslr_upstream_ic_annotation,1.000000,,verify_refdes;verify_footprint;verify_layer;rotation_not_manufacturing_verified
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_007,source_image_pixels,slot_0007,U_AUTO_0006,synthetic_auto_not_ocr,ic,3650.000000,774.000000,3528.500000,655.500000,3771.500000,892.500000,0.000000,upstream_opencv_rotated_rect_not_verified_pnp,,,pcb_dslr_upstream_ic_annotation,1.000000,,verify_refdes;verify_footprint;verify_layer;rotation_not_manufacturing_verified
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_007,source_image_pixels,slot_0008,U_AUTO_0007,synthetic_auto_not_ocr,ic,3340.000000,775.000000,3223.500000,659.000000,3456.500000,891.000000,0.000000,upstream_opencv_rotated_rect_not_verified_pnp,,,pcb_dslr_upstream_ic_annotation,1.000000,,verify_refdes;verify_footprint;verify_layer;rotation_not_manufacturing_verified
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_007,source_image_pixels,slot_0009,U_AUTO_0008,synthetic_auto_not_ocr,ic,2712.000000,780.000000,2592.500000,663.000000,2831.500000,897.000000,0.000000,upstream_opencv_rotated_rect_not_verified_pnp,,,pcb_dslr_upstream_ic_annotation,1.000000,DSP 1991 TI,verify_refdes;verify_footprint;verify_layer;rotation_not_manufacturing_verified
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_007,source_image_pixels,slot_0010,U_AUTO_0009,synthetic_auto_not_ocr,ic,3028.000000,780.000000,2908.000000,665.000000,3148.000000,895.000000,0.000000,upstream_opencv_rotated_rect_not_verified_pnp,,,pcb_dslr_upstream_ic_annotation,1.000000,,verify_refdes;verify_footprint;verify_layer;rotation_not_manufacturing_verified
