schema_version,status,board_id,coordinate_space,slot_id,designator,designator_source,expected_class,center_x_px,center_y_px,x1_px,y1_px,x2_px,y2_px,rotation_deg_observed,rotation_source,footprint,layer,proposal_source,confidence,upstream_text,review_reasons
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0001,J_AUTO_0001,synthetic_auto_not_ocr,connector,2929.615784,1218.754848,2781.583374,1137.422890,3077.648193,1300.086807,,unknown,,,current_component_detector,0.502381,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0002,LED_AUTO_0001,synthetic_auto_not_ocr,led,3125.051849,1286.749367,3113.773438,1270.573837,3136.330261,1302.924896,,unknown,,,current_component_detector,0.438701,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0003,C_AUTO_0001,synthetic_auto_not_ocr,capacitor,3113.996704,1313.468597,3100.113342,1294.315369,3127.880066,1332.621826,,unknown,,,current_component_detector,0.697018,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0004,C_AUTO_0002,synthetic_auto_not_ocr,capacitor,3072.375183,1333.977600,3063.547913,1322.577057,3081.202454,1345.378143,,unknown,,,current_component_detector,0.438902,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0005,U_AUTO_0001,synthetic_auto_not_ocr,ic,2747.291382,1343.609589,2709.269470,1313.609589,2785.313293,1373.609589,,unknown,,,current_component_detector,0.714724,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0006,C_AUTO_0003,synthetic_auto_not_ocr,capacitor,3103.989044,1362.704956,3086.815552,1347.857941,3121.162537,1377.551971,,unknown,,,current_component_detector,0.404549,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0007,C_AUTO_0004,synthetic_auto_not_ocr,capacitor,2688.767822,1364.884323,2676.043274,1354.517029,2701.492371,1375.251617,,unknown,,,current_component_detector,0.373301,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0008,C_AUTO_0005,synthetic_auto_not_ocr,capacitor,2823.452942,1368.153839,2812.503113,1357.358551,2834.402771,1378.949127,,unknown,,,current_component_detector,0.499981,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0009,C_AUTO_0006,synthetic_auto_not_ocr,capacitor,2798.998688,1377.309601,2784.262817,1357.285645,2813.734558,1397.333557,,unknown,,,current_component_detector,0.668109,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0010,C_AUTO_0007,synthetic_auto_not_ocr,capacitor,3037.253632,1381.102753,3026.752014,1372.880310,3047.755249,1389.325195,,unknown,,,current_component_detector,0.258150,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_024,source_image_pixels,slot_0011,C_AUTO_0008,synthetic_auto_not_ocr,capacitor,2769.392609,1386.911591,2758.566650,1374.435089,2780.218567,1399.388092,,unknown,,,current_component_detector,0.578262,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
