schema_version,status,board_id,coordinate_space,slot_id,designator,designator_source,expected_class,center_x_px,center_y_px,x1_px,y1_px,x2_px,y2_px,rotation_deg_observed,rotation_source,footprint,layer,proposal_source,confidence,upstream_text,review_reasons
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_003,source_image_pixels,slot_0001,R_AUTO_0001,synthetic_auto_not_ocr,resistor,3460.445984,320.501915,3445.576050,291.164291,3475.315918,349.839539,,unknown,,,current_component_detector,0.448733,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_003,source_image_pixels,slot_0002,R_AUTO_0002,synthetic_auto_not_ocr,resistor,3400.934875,327.061172,3390.546997,314.024460,3411.322754,340.097885,,unknown,,,current_component_detector,0.474835,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_003,source_image_pixels,slot_0003,R_AUTO_0003,synthetic_auto_not_ocr,resistor,2584.129059,337.651642,2568.236023,309.694794,2600.022095,365.608490,,unknown,,,current_component_detector,0.598246,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_003,source_image_pixels,slot_0004,R_AUTO_0004,synthetic_auto_not_ocr,resistor,2495.354340,339.429329,2479.627563,311.663834,2511.081116,367.194824,,unknown,,,current_component_detector,0.593352,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_003,source_image_pixels,slot_0005,R_AUTO_0005,synthetic_auto_not_ocr,resistor,2539.153198,339.677963,2524.050842,312.135101,2554.255554,367.220825,,unknown,,,current_component_detector,0.358838,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_003,source_image_pixels,slot_0006,R_AUTO_0006,synthetic_auto_not_ocr,resistor,2450.816650,340.044983,2434.781067,312.362396,2466.852234,367.727570,,unknown,,,current_component_detector,0.593286,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_003,source_image_pixels,slot_0007,R_AUTO_0007,synthetic_auto_not_ocr,resistor,2406.993927,340.187492,2390.897095,313.516632,2423.090759,366.858353,,unknown,,,current_component_detector,0.671704,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_003,source_image_pixels,slot_0008,R_AUTO_0008,synthetic_auto_not_ocr,resistor,2361.344177,341.558372,2345.715454,315.404953,2376.972900,367.711792,,unknown,,,current_component_detector,0.649207,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_003,source_image_pixels,slot_0009,R_AUTO_0009,synthetic_auto_not_ocr,resistor,2316.237793,343.171089,2299.485413,316.275757,2332.990173,370.066422,,unknown,,,current_component_detector,0.539896,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
aoi-pnp-draft-source-pixels/1.0,NEEDS_REVIEW,pcb_dslr_003,source_image_pixels,slot_0010,R_AUTO_0010,synthetic_auto_not_ocr,resistor,2269.925308,344.391815,2253.940582,317.179779,2285.910034,371.603851,,unknown,,,current_component_detector,0.538958,,verify_refdes;verify_footprint;verify_layer;rotation_unknown
