schema_version,artifact_status,coordinate_space,designator,designator_source,label,center_x_px,center_y_px,x1_px,y1_px,x2_px,y2_px,rotation_deg,rotation_source,footprint,observation_count,frame_count,support_ratio,class_purity,center_mad_px,median_confidence,consensus_status,review_reasons,class_counts_json,frame_ids_json
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,J_AUTO_0001,synthetic_auto,connector,2938.401733,116.628743,2615.738525,17.055536,3261.064941,216.201950,,unknown_axis_aligned_detection,,1,30,0.033333,1.000000,0.000000,0.251984,NEEDS_REVIEW,low_support,"{""connector"": 1}","[""mpi_pcb_train_good_0937.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,J_AUTO_0002,synthetic_auto,connector,3596.450195,140.049721,3323.364990,74.059837,3855.867432,205.923080,,unknown_axis_aligned_detection,,7,30,0.233333,1.000000,9.441772,0.304599,NEEDS_REVIEW,low_support,"{""connector"": 7}","[""mpi_pcb_train_good_0040.jpg"", ""mpi_pcb_train_good_0465.jpg"", ""mpi_pcb_train_good_0522.jpg"", ""mpi_pcb_train_good_1000.jpg"", ""mpi_pcb_train_good_1287.jpg"", ""mpi_pcb_train_good_1386.jpg"", ""mpi_pcb_train_good_1505.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,J_AUTO_0003,synthetic_auto,connector,2935.280396,149.782448,2593.131592,82.537704,3277.429199,217.027191,,unknown_axis_aligned_detection,,1,30,0.033333,1.000000,0.000000,0.327003,NEEDS_REVIEW,low_support,"{""connector"": 1}","[""mpi_pcb_train_good_1505.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,J_AUTO_0004,synthetic_auto,connector,2269.142883,163.171659,2068.833252,56.512524,2469.452515,269.830795,,unknown_axis_aligned_detection,,2,30,0.066667,1.000000,10.679618,0.399926,NEEDS_REVIEW,low_support,"{""connector"": 2}","[""mpi_pcb_train_good_0359.jpg"", ""mpi_pcb_train_good_1505.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,R_AUTO_0001,synthetic_auto,resistor,1976.323212,257.182476,1949.312744,210.459648,2003.333679,303.905304,,unknown_axis_aligned_detection,,2,30,0.066667,1.000000,10.079694,0.279636,NEEDS_REVIEW,low_support,"{""resistor"": 2}","[""mpi_pcb_train_good_0040.jpg"", ""mpi_pcb_train_good_1060.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,J_AUTO_0005,synthetic_auto,connector,1654.583130,310.316376,1392.388184,259.298859,1918.781860,356.746033,,unknown_axis_aligned_detection,,5,30,0.166667,1.000000,13.029709,0.307347,NEEDS_REVIEW,low_support,"{""connector"": 5}","[""mpi_pcb_train_good_0465.jpg"", ""mpi_pcb_train_good_0605.jpg"", ""mpi_pcb_train_good_0629.jpg"", ""mpi_pcb_train_good_1287.jpg"", ""mpi_pcb_train_good_1505.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,R_AUTO_0002,synthetic_auto,resistor,3481.541870,410.728607,3458.270264,369.996002,3504.813477,451.461212,,unknown_axis_aligned_detection,,3,30,0.100000,0.666667,3.346999,0.255122,NEEDS_REVIEW,low_support;class_ambiguous,"{""capacitor"": 1, ""resistor"": 2}","[""mpi_pcb_train_good_0123.jpg"", ""mpi_pcb_train_good_0812.jpg"", ""mpi_pcb_train_good_1090.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,U_AUTO_0001,synthetic_auto,ic,1643.148254,463.024200,1389.305786,380.907227,1892.667114,545.582153,,unknown_axis_aligned_detection,,7,30,0.233333,1.000000,9.004998,0.536405,NEEDS_REVIEW,low_support,"{""ic"": 7}","[""mpi_pcb_train_good_0605.jpg"", ""mpi_pcb_train_good_0676.jpg"", ""mpi_pcb_train_good_0781.jpg"", ""mpi_pcb_train_good_0893.jpg"", ""mpi_pcb_train_good_0937.jpg"", ""mpi_pcb_train_good_1090.jpg"", ""mpi_pcb_train_good_1287.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,U_AUTO_0002,synthetic_auto,ic,2284.346558,463.352478,2033.452515,378.317490,2537.485718,542.306183,,unknown_axis_aligned_detection,,10,30,0.333333,1.000000,10.739220,0.485025,NEEDS_REVIEW,low_support,"{""ic"": 10}","[""mpi_pcb_train_good_0123.jpg"", ""mpi_pcb_train_good_0605.jpg"", ""mpi_pcb_train_good_0676.jpg"", ""mpi_pcb_train_good_0781.jpg"", ""mpi_pcb_train_good_0812.jpg"", ""mpi_pcb_train_good_0937.jpg"", ""mpi_pcb_train_good_1000.jpg"", ""mpi_pcb_train_good_1090.jpg"", ""mpi_pcb_train_good_1287.jpg"", ""mpi_pcb_train_good_1584.jpg""]"
aoi-pnp-consensus-pixels/1.0,AUTHORITATIVE_PIXEL_CONSENSUS,golden_board_pixels,U_AUTO_0003,synthetic_auto,ic,1013.585266,466.266754,759.966797,379.567505,1270.460449,546.426147,,unknown_axis_aligned_detection,,9,30,0.300000,1.000000,9.938934,0.563475,NEEDS_REVIEW,low_support,"{""ic"": 9}","[""mpi_pcb_train_good_0605.jpg"", ""mpi_pcb_train_good_0676.jpg"", ""mpi_pcb_train_good_0781.jpg"", ""mpi_pcb_train_good_0812.jpg"", ""mpi_pcb_train_good_0937.jpg"", ""mpi_pcb_train_good_1000.jpg"", ""mpi_pcb_train_good_1287.jpg"", ""mpi_pcb_train_good_1322.jpg"", ""mpi_pcb_train_good_1584.jpg""]"
